owner_name,business_name,business_website,yelp_website,phone_number,review_rating,number_of_reviews,business_categories
,Edge Mma And Fitness Denver,grapplers-edge.com,https://www.yelp.com/biz/edge-mma-and-fitness-denver?osq=fitness,(303) 433-3343,,,['Martial Arts']
,Lavvany Spa And Lady S Spot Center Aurora,,https://www.yelp.com/biz/lavvany-spa-and-lady-s-spot-center-aurora?osq=fitness,(303) 344-5000,,,"['Gyms', 'Boot Camps', 'Yoga']"
Customer Service,Planet Fitness Aurora 9,planetfitness.com,https://www.yelp.com/biz/planet-fitness-aurora-9?osq=fitness,(720) 476-4535,,,"['Gyms', 'Trainers']"
,Fitness Ignition Denver,fitnessignition.com,https://www.yelp.com/biz/fitness-ignition-denver?osq=fitness,(720) 587-7038,,,['Trainers']
,Way Of Jiu Jitsu Aurora Aurora,wayofjiujitsu.com,https://www.yelp.com/biz/way-of-jiu-jitsu-aurora-aurora?osq=fitness,(303) 246-8855,,,"['Brazilian Jiu-jitsu', 'Self-defense Classes']"
Milt M.,Body Fat Usa Denver,bodyfatusa.com,https://www.yelp.com/biz/body-fat-usa-denver?osq=fitness,(303) 758-9552,,,['Fitness & Instruction']
,Lagree Luxe Cherry Creek Denver,lagreeluxe.com,https://www.yelp.com/biz/lagree-luxe-cherry-creek-denver?osq=fitness,(720) 260-4338,,,['Gyms']
,Dardanos School Of Gymnastics Denver,dardanosgymnastics.com,https://www.yelp.com/biz/dardanos-school-of-gymnastics-denver?osq=fitness,(303) 355-0080,,,['Gyms']
Jaclyn E J.,Reds Pilates Garage Denver,redspilatesgarage.com,https://www.yelp.com/biz/reds-pilates-garage-denver?osq=fitness,(720) 515-9101,,,['Pilates']
,Club Pilates Coming Soon Denver,clubpilates.com,https://www.yelp.com/biz/club-pilates-coming-soon-denver?osq=fitness,(303) 731-6256,,,['Pilates']
,Self Defined Fitness Pro Gym Aurora,sdfgym.com,https://www.yelp.com/biz/self-defined-fitness-pro-gym-aurora?osq=fitness,(303) 574-9000,,,['Gyms']
,Lowry Denver Kickhouse Denver,thekickhouse.com,https://www.yelp.com/biz/lowry-denver-kickhouse-denver?osq=fitness,(303) 355-5576,,,['Kickboxing']
,Swim With Ms Carole Denver,swimwithmscarole.com,https://www.yelp.com/biz/swim-with-ms-carole-denver?osq=fitness,(303) 520-8020,,,['Swimming Lessons/Schools']
,Kickhouse Denver 2,thekickhouse.com,https://www.yelp.com/biz/kickhouse-denver-2?osq=fitness,(303) 355-5576,,,['Kickboxing']
Elena K.,Experiencegolf Aurora,experiencegolf.biz,https://www.yelp.com/biz/experiencegolf-aurora?osq=fitness,(303) 503-0455,,,"['Golf', 'Golf Lessons']"
,Final Round Fitness Aurora 2,finalroundfit.com,https://www.yelp.com/biz/final-round-fitness-aurora-2?osq=fitness,(720) 843-4683,,,['Cardio Classes']
Howard W.,Halfhourpower Denver,halfhourpower.com,https://www.yelp.com/biz/halfhourpower-denver?osq=fitness,(720) 985-8892,,,"['Trainers', 'Gyms']"
Jessie F.,Prestige Fitness Aurora Aurora 2,zoneathleticclubs.com,https://www.yelp.com/biz/prestige-fitness-aurora-aurora-2?osq=fitness,(303) 755-9955,,,"['Gyms', 'Boot Camps', 'Yoga']"
Jordan N.,The New Healthy You Denver,thenewhealthyyou.com,https://www.yelp.com/biz/the-new-healthy-you-denver?osq=fitness,(720) 261-5382,,,['Yoga']
,F45 Training Cory Merrill Denver,f45training.com/corymerrill/ho…,https://www.yelp.com/biz/f45-training-cory-merrill-denver?osq=fitness,(720) 414-2563,,,['Interval Training Gyms']
,Physio Pro Powered By Evolution Denver 3,physio-pro.com,https://www.yelp.com/biz/physio-pro-powered-by-evolution-denver-3?osq=fitness,(303) 370-2670,,,"['Physical Therapy', 'Sports Medicine', 'Pilates']"
,Orangetheory Fitness Denver Glendale Denver,orangetheory.com/en-us/locatio…,https://www.yelp.com/biz/orangetheory-fitness-denver-glendale-denver?osq=fitness,(303) 996-8854,,,"['Gyms', 'Boot Camps', 'Trainers']"
,Buckley Fitness Center Aurora,,https://www.yelp.com/biz/buckley-fitness-center-aurora?osq=fitness,(720) 847-6679,,,"['Gyms', 'Boot Camps', 'Yoga']"
,Orangetheory Fitness Lowry Denver,orangetheory.com/en-us/locatio…,https://www.yelp.com/biz/orangetheory-fitness-lowry-denver?osq=fitness,(303) 366-3311,,,"['Gyms', 'Boot Camps', 'Trainers']"
,Mile High Fitness And Wellness Denver 2,,https://www.yelp.com/biz/mile-high-fitness-and-wellness-denver-2?osq=fitness,,,,[]
Rachel G.,Nutritionworks Denver,nutritionworksofcolorado.com,https://www.yelp.com/biz/nutritionworks-denver?osq=fitness,(720) 556-3113,,,"['Trainers', 'Nutritionists', 'Life Coach']"
Doniphan S.,Fearless Personal Training Denver,fearlesspt.com,https://www.yelp.com/biz/fearless-personal-training-denver?osq=fitness,(303) 249-3353,,,"['Trainers', 'Boot Camps', 'Yoga']"
Justin P.,Summit Elite Training Denver,summitelitetraining.com,https://www.yelp.com/biz/summit-elite-training-denver?osq=fitness,(720) 432-7387,,,"['Trainers', 'Boot Camps']"
,Crossfit Terra Nova Aurora,crossfitterranova.com,https://www.yelp.com/biz/crossfit-terra-nova-aurora?osq=fitness,(720) 231-7834,,,['Interval Training Gyms']
Chris T.,Hard Assets Fitness Denver,,https://www.yelp.com/biz/hard-assets-fitness-denver?osq=fitness,(720) 432-7780,,,['Boot Camps']
Grand Grand Master G.,Tiger Kims Academy Denver,tigerkim.com,https://www.yelp.com/biz/tiger-kims-academy-denver?osq=fitness,(303) 388-1408,,,['Martial Arts']
,Kinetic Fitness Denver,,https://www.yelp.com/biz/kinetic-fitness-denver?osq=fitness,(303) 377-6013,,,['Gyms']
Karlyn G.,Park Hill Dance Academy Denver 2,parkhilldanceacademy.com,https://www.yelp.com/biz/park-hill-dance-academy-denver-2?osq=fitness,(303) 975-6111,,,"['Dance Schools', 'Summer Camps', 'Dance Studios']"
,Jlm Therapeutics Denver,jlmtherapeutics.com,https://www.yelp.com/biz/jlm-therapeutics-denver?osq=fitness,(720) 935-9980,,,"['Massage', 'Yoga']"
Steven T.,Yogasix Boulevard One Denver 2,yogasix.com,https://www.yelp.com/biz/yogasix-boulevard-one-denver-2?osq=fitness,(720) 706-0656,,,"['Yoga', 'Pilates']"
Megan M.,Gravity Aerial Arts Denver,gravityaerialarts.com,https://www.yelp.com/biz/gravity-aerial-arts-denver?osq=fitness,(720) 507-5422,,,['Aerial Fitness']
,Denver Physical Medicine And Rehab Denver,denverphysicalmedicine.com,https://www.yelp.com/biz/denver-physical-medicine-and-rehab-denver?osq=fitness,(303) 872-6153,['4.5'],,"['Physical Therapy', 'Weight Loss Centers', 'Medical Centers']"
Customer Service,Planet Fitness Aurora 7,planetfitness.com,https://www.yelp.com/biz/planet-fitness-aurora-7?osq=fitness,(720) 250-9098,,,"['Gyms', 'Trainers']"
,Enshin Karate Denver 2,enshin.com,https://www.yelp.com/biz/enshin-karate-denver-2?osq=fitness,(303) 320-7632,,,['Karate']
,Anytime Fitness Denver 12,anytimefitness.com,https://www.yelp.com/biz/anytime-fitness-denver-12?osq=fitness,(303) 720-3424,,,"['Trainers', 'Gyms']"
,Bally Total Fitness Aurora 2,ballyfitness.com,https://www.yelp.com/biz/bally-total-fitness-aurora-2?osq=fitness,(303) 363-6060,,,['Trainers']
CorePower Y.,Corepower Yoga Denver 5,corepoweryoga.com,https://www.yelp.com/biz/corepower-yoga-denver-5?osq=fitness,(833) 448-2561,,,['Yoga']
,Crossfit Lodo Denver,crossfitlodo.com,https://www.yelp.com/biz/crossfit-lodo-denver?osq=fitness,(303) 946-1721,,,"['Gyms', 'Trainers']"
,J Williams Health And Fitness Denver 2,jwilliamshealthandfitness.com,https://www.yelp.com/biz/j-williams-health-and-fitness-denver-2?osq=fitness,(319) 721-1954,,,"['Trainers', 'Health Coach']"
,Golftec Cherry Creek Denver 6,golftec.com/golf-lessons/denve…,https://www.yelp.com/biz/golftec-cherry-creek-denver-6?osq=fitness,(303) 388-4832,,,"['Golf Equipment', 'Golf Lessons']"
Sasha L.,Sasha Meets Fitness Denver 2,sashameetsfitness.com,https://www.yelp.com/biz/sasha-meets-fitness-denver-2?osq=fitness,(201) 410-4460,,,"['Trainers', 'Health Coach']"
,Sunsational Swim School Home Swim Lessons Denver 2,,https://www.yelp.com/biz/sunsational-swim-school-home-swim-lessons-denver-2?osq=fitness,,,,[]
Matt F.,Cobalt Fitness Denver,cobaltfitnessdenver.com,https://www.yelp.com/biz/cobalt-fitness-denver?osq=fitness,(720) 708-6067,,,['Trainers']
Jennifer C.,Nurture Pilates Denver,nurturepilates.com,https://www.yelp.com/biz/nurture-pilates-denver?osq=fitness,(303) 815-6671,,,['Pilates']
Kelli H.,Stronger You Fitness Denver,strongeryoufit.com,https://www.yelp.com/biz/stronger-you-fitness-denver?osq=fitness,(303) 956-4867,,,['Trainers']
,Naptural Fitness Denver,napturalfitness.com,https://www.yelp.com/biz/naptural-fitness-denver?osq=fitness,(786) 303-0709,,,"['Life Coach', 'Health Coach', 'Counseling & Mental Health']"
Claudia M.,Nutrition Wellness Center Aurora,goherbalife.com/nutritionhfit2…,https://www.yelp.com/biz/nutrition-wellness-center-aurora?osq=fitness,(720) 579-1580,,,"['Weight Loss Centers', 'Dance Studios']"
Lisa T.,Precision Pilates Plus Denver,precisionpilatesplus.org,https://www.yelp.com/biz/precision-pilates-plus-denver?osq=fitness,(303) 918-9084,,,"['Pilates', 'Trainers']"
,Fitsoo Women Only Fitness Studio Aurora,fitsoo.com,https://www.yelp.com/biz/fitsoo-women-only-fitness-studio-aurora?osq=fitness,(720) 380-0729,,,"['Trainers', 'Gyms', 'Nutritionists']"
,Body Mechanic Fitness Denver,bodymechanictraining.com,https://www.yelp.com/biz/body-mechanic-fitness-denver?osq=fitness,(303) 910-2487,,,['Trainers']
Kevin M.,Fullcircle Fitness Denver,trainfullcircle.com,https://www.yelp.com/biz/fullcircle-fitness-denver?osq=fitness,(303) 913-3132,,,['Gyms']
Kimsey S.,Progressive Health And Wellness Denver,progressivehealthandwellness.c…,https://www.yelp.com/biz/progressive-health-and-wellness-denver?osq=fitness,(512) 970-3532,['5.0'],,"['Health Coach', 'Nutritionists']"
,Groov3 Aurora,groov3.com,https://www.yelp.com/biz/groov3-aurora?osq=fitness,(720) 434-2601,,,['Dance Studios']
,Descubre Quien Denver 2,,https://www.yelp.com/biz/descubre-quien-denver-2?osq=fitness,,,,['Gyms']
Lucie P.,Alpha Life Fitness Denver,alphalifefitness.training,https://www.yelp.com/biz/alpha-life-fitness-denver?osq=fitness,(720) 999-3699,,,['Trainers']
,Platinum Plates Fitness Denver,platinumplatesfitness.com,https://www.yelp.com/biz/platinum-plates-fitness-denver?osq=fitness,(720) 429-5660,,,"['Trainers', 'Nutritionists']"
Charlene W.,Charlene Wang Nutrition And Wellness Denver,charlenewangwellness.com,https://www.yelp.com/biz/charlene-wang-nutrition-and-wellness-denver?osq=fitness,(415) 723-1444,['5.0'],,"['Nutritionists', 'Naturopathic/Holistic']"
Tom and Jamaica C.,Fly Kickbox Aurora,flykickbox.com,https://www.yelp.com/biz/fly-kickbox-aurora?osq=fitness,(303) 390-1716,,,"['Gyms', 'Boxing', 'Kickboxing']"
,House Of Pain East Boxing And Fitness Denver,,https://www.yelp.com/biz/house-of-pain-east-boxing-and-fitness-denver?osq=fitness,(720) 862-4912,,,"['Boxing', 'Gyms']"
,Optimum Golf Denver 2,theoptimumgolf.com,https://www.yelp.com/biz/optimum-golf-denver-2?osq=fitness,(303) 961-1292,,,"['Golf', 'Golf Lessons']"
Mia W.,Floetry Fitness Aurora 5,,https://www.yelp.com/biz/floetry-fitness-aurora-5?osq=fitness,(720) 447-9603,,,"['Pilates', 'Yoga', 'Nutritionists']"
,Living Yoga Denver,livingyogadenver.com,https://www.yelp.com/biz/living-yoga-denver?osq=fitness,(303) 758-0780,,,['Yoga']
Jaitee S.,Body Talk Aurora,,https://www.yelp.com/biz/body-talk-aurora?osq=fitness,(720) 448-6631,,,"['Massage Therapy', 'Reiki', 'Trainers']"
,Cta Colorado Brazilian Jiu Jitsu Aurora,ctacolorado.com,https://www.yelp.com/biz/cta-colorado-brazilian-jiu-jitsu-aurora?osq=fitness,,,,['Brazilian Jiu-jitsu']
Dana D.,Bright Body Clinic Denver,,https://www.yelp.com/biz/bright-body-clinic-denver?osq=fitness,(720) 295-8446,['1.0'],,"['Weight Loss Centers', 'Nutritionists']"
,Total Approach Fitness Aurora 2,totalapproachfitness.com,https://www.yelp.com/biz/total-approach-fitness-aurora-2?osq=fitness,(720) 331-0265,,,['Trainers']
Michelle G.,Boost 180 Fitness Denver,boost180fitness.com,https://www.yelp.com/biz/boost-180-fitness-denver?osq=fitness,(720) 987-3004,,,"['Trainers', 'Health Coach']"
,Kinetx Human Performance Denver,,https://www.yelp.com/biz/kinetx-human-performance-denver?osq=fitness,(303) 378-6806,,,['Fitness & Instruction']
,Body By David Aurora,davidinfitness.wixsite.com/bod…,https://www.yelp.com/biz/body-by-david-aurora?osq=fitness,(720) 427-0304,,,['Trainers']
Daniel U.,Corrective Athletics Denver,www.unlockbodyworks.com,https://www.yelp.com/biz/corrective-athletics-denver?osq=fitness,(720) 819-7287,,,"['Massage Therapy', 'Trainers']"
Don L.,Crossfit Cherry Creek Denver,crossfitcherrycreek.com,https://www.yelp.com/biz/crossfit-cherry-creek-denver?osq=fitness,(720) 295-1884,,,['Interval Training Gyms']
,Altitude Paddleboards Englewood,altitudepaddleboards.com,https://www.yelp.com/biz/altitude-paddleboards-englewood?osq=fitness,(720) 810-4142,,,"['Paddleboarding', 'Surfing', 'Yoga']"
Christina E.,Metamorphosis Fitness Denver,metamorphosisfit.com,https://www.yelp.com/biz/metamorphosis-fitness-denver?osq=fitness,(303) 625-9853,,,"['Gyms', 'Yoga']"
Pure Barre,Pure Barre Denver 5,purebarre.com,https://www.yelp.com/biz/pure-barre-denver-5?osq=fitness,(720) 276-1493,,,"['Barre Classes', 'Pilates']"
Nick BC  .,Ballroom And Beyond Denver,ballroomandbeyond.net,https://www.yelp.com/biz/ballroom-and-beyond-denver?osq=fitness,(720) 572-4952,,,"['Dance Schools', 'Fitness & Instruction', 'Performing Arts']"
,Trent Wearner Golf Academy Denver,trentwearnergolf.com,https://www.yelp.com/biz/trent-wearner-golf-academy-denver?osq=fitness,(303) 645-8000,,,['Golf Lessons']
Dana F.,Small Group Fit Club Denver 2,smallgroupfitclub.wordpress.co…,https://www.yelp.com/biz/small-group-fit-club-denver-2?osq=fitness,(303) 519-6855,,,['Trainers']
Skip M.,Front Range Crossfit Denver,frontrangecrossfit.com,https://www.yelp.com/biz/front-range-crossfit-denver?osq=fitness,(310) 666-9423,,,['Gyms']
Glenn G.,A1 Boxing And Fitness Aurora 3,a1boxingfitness.com,https://www.yelp.com/biz/a1-boxing-and-fitness-aurora-3?osq=fitness,(720) 600-4984,,,"['Kids Activities', 'Fitness & Instruction']"
,Dai Fit Denver 3,daifit.org,https://www.yelp.com/biz/dai-fit-denver-3?osq=fitness,(720) 621-9989,,,"['Trainers', 'Nutritionists']"
Billy C.,Retrofit Training Center Denver,retrofittrainingcenter.com,https://www.yelp.com/biz/retrofit-training-center-denver?osq=fitness,(303) 758-3138,,,"['Boot Camps', 'Trainers']"
Simone S.,Manea Polynesia Denver,maneapolynesia.com,https://www.yelp.com/biz/manea-polynesia-denver?osq=fitness,(720) 291-2378,,,"['Performing Arts', 'Dance Studios']"
Julie A.,Strong With Jules Denver,,https://www.yelp.com/biz/strong-with-jules-denver?osq=fitness,(303) 906-7872,,,['Trainers']
,Mighty Movement Academy Denver,mightymovementacademy.com,https://www.yelp.com/biz/mighty-movement-academy-denver?osq=fitness,(720) 706-1281,,,"['Gyms', 'Trainers']"
,Studio Clmbr Denver,studioclmbrla.com,https://www.yelp.com/biz/studio-clmbr-denver?osq=fitness,(720) 928-5885,,,"['Gyms', 'Cardio Classes']"
Laurie C.,Pilates Defined Studio Denver,thepilatesdefinedstudio.com,https://www.yelp.com/biz/pilates-defined-studio-denver?osq=fitness,(303) 339-5648,,,"['Trainers', 'Pilates']"
,Work It With Jess Denver,workitwithjess.com,https://www.yelp.com/biz/work-it-with-jess-denver?osq=fitness,,,,['Trainers']
Neil A.,Lodestone Strength Denver 2,lodestonestrength.com,https://www.yelp.com/biz/lodestone-strength-denver-2?osq=fitness,(720) 696-0463,,,"['Gyms', 'Trainers']"
,Team Testa Wellness Denver 2,testawellness.com,https://www.yelp.com/biz/team-testa-wellness-denver-2?osq=fitness,(720) 722-4186,,,"['Nutritionists', 'Trainers', 'Health Coach']"
,Crossfit Ridgeback Commerce City,crossfitridgeback.com,https://www.yelp.com/biz/crossfit-ridgeback-commerce-city?osq=fitness,(720) 639-1183,,,"['Aerial Fitness', 'Interval Training Gyms']"
,Ohm Fitness Denver Denver,ohmfitness.com,https://www.yelp.com/biz/ohm-fitness-denver-denver?osq=fitness,(720) 856-0878,,,['Fitness & Instruction']
,Denver Personal Trainer Denver,denverpersonaltrainer.co,https://www.yelp.com/biz/denver-personal-trainer-denver?osq=fitness,(512) 621-5470,,,['Fitness & Instruction']
,Beastfluent Aurora,,https://www.yelp.com/biz/beastfluent-aurora?osq=fitness,(508) 246-4986,,,['Trainers']
,Tapped In Fitness Denver,tapped-in-fitness.com,https://www.yelp.com/biz/tapped-in-fitness-denver?osq=fitness,(720) 448-8790,,,['Trainers']
,Tao Of Boxing Denver,taoofboxing.com,https://www.yelp.com/biz/tao-of-boxing-denver?osq=fitness,(720) 923-7928,,,"['Boxing', 'Gyms']"
Amanda O.,The Mamahood Denver 3,themamahooddenver.com,https://www.yelp.com/biz/the-mamahood-denver-3?osq=fitness,(303) 726-2612,,,"['Yoga', 'Lactation Services']"
Dana D.,Valkyrie Fitness And Nutrition Denver,valkyriefit.com,https://www.yelp.com/biz/valkyrie-fitness-and-nutrition-denver?osq=fitness,(720) 515-0084,,,"['Trainers', 'Martial Arts', 'Nutritionists']"
,Swollman Fitness Aurora,swollmanfitness.com,https://www.yelp.com/biz/swollman-fitness-aurora?osq=fitness,,,,['Trainers']
,The Perfect Workout Cherry Creek Denver,theperfectworkout.com,https://www.yelp.com/biz/the-perfect-workout-cherry-creek-denver?osq=fitness,(844) 403-1120,,,"['Gyms', 'Trainers']"
,Healthy Life Denver Denver,healthylifedenver.com,https://www.yelp.com/biz/healthy-life-denver-denver?osq=fitness,(650) 224-2325,,,['Nutritionists']
,Cant Miss Fitness Aurora,,https://www.yelp.com/biz/cant-miss-fitness-aurora?osq=fitness,(970) 703-4250,,,['Trainers']
Coach John K.,Kimmich Training Denver,,https://www.yelp.com/biz/kimmich-training-denver?osq=fitness,(303) 263-0644,,,"['Trainers', 'Boot Camps']"
,Justin Mantineo Health And Fitness Denver,justinmantineofitness.com,https://www.yelp.com/biz/justin-mantineo-health-and-fitness-denver?osq=fitness,(520) 260-5123,,,['Trainers']
Clayton S.,Smitty Fit Experience Denver,smittyfitexperience.com,https://www.yelp.com/biz/smitty-fit-experience-denver?osq=fitness,(719) 627-2878,,,"['Trainers', 'Nutritionists', 'Weight Loss Centers']"
,Colorado Athletic Club Monaco Denver,wellbridge.com,https://www.yelp.com/biz/colorado-athletic-club-monaco-denver?osq=fitness,(303) 758-7080,,,"['Tennis', 'Sports Clubs', 'Pilates']"
,Aurora Ymca Aurora,,https://www.yelp.com/biz/aurora-ymca-aurora?osq=fitness,,,,"['Gyms', 'Child Care & Day Care', 'Summer Camps']"
,Cherry Creek Medical Weight Loss Denver 2,cherrycreekmedicalweightloss.c…,https://www.yelp.com/biz/cherry-creek-medical-weight-loss-denver-2?osq=fitness,(303) 321-0123,['2.3'],,['Weight Loss Centers']
General Manager,Club Pilates Denver 3,clubpilates.com,https://www.yelp.com/biz/club-pilates-denver-3?osq=fitness,(720) 569-7112,,,"['Pilates', 'Yoga']"
,Happy Healthy Holistic Denver,happy-healthy-holistic.com,https://www.yelp.com/biz/happy-healthy-holistic-denver?osq=fitness,(414) 312-0515,,,"['Massage Therapy', 'Meditation Centers', 'Saunas']"
Joshua T.,Evolve Martial Arts And Fitness Krav Maga Institute Of Denver Denver 3,evolve-maf.com,https://www.yelp.com/biz/evolve-martial-arts-and-fitness-krav-maga-institute-of-denver-denver-3?osq=fitness,(720) 740-8889,,,"['Martial Arts', 'Self-defense Classes', 'Boot Camps']"
,Rasta Fit Aurora,rastafitdenver.com,https://www.yelp.com/biz/rasta-fit-aurora?osq=fitness,(720) 819-7357,,,['Trainers']
,Jazzercise On Capitol Hill Denver,jcls.jazzercise.com/facility/j…,https://www.yelp.com/biz/jazzercise-on-capitol-hill-denver?osq=fitness,(720) 839-3212,,,"['Trainers', 'Dance Studios']"
,Chris Maple Fitness Denver,maplefitnessdenver.com,https://www.yelp.com/biz/chris-maple-fitness-denver?osq=fitness,(720) 503-6313,,,"['Trainers', 'Kickboxing', 'Nutritionists']"
Caleb B.,Active Wave Denver,theactivewave.com,https://www.yelp.com/biz/active-wave-denver?osq=fitness,(720) 238-2327,,,"['Trainers', 'Nutritionists']"
Yelena D.,Yelena Dent Denver,yelenadent.com,https://www.yelp.com/biz/yelena-dent-denver?osq=fitness,(720) 690-1011,,,"['Life Coach', 'Meditation Centers', 'Counseling & Mental Health']"
,Watkins Fit Denver,,https://www.yelp.com/biz/watkins-fit-denver?osq=fitness,(720) 666-3625,,,['Trainers']
